               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10115,            0.023906,            0.036992,            0.055455,             0.13304,            0.076509,            0.022288,            0.076079,            0.013498,             0.02196,               0.073,               0.003,               0.003
                   1,             0.07563,            0.026131,            0.023168,             0.35495,             0.49459,             0.32388,             0.11496,            0.061633,            0.012684,            0.013643,            0.044899,           0.0058987,           0.0058987
                   2,            0.065937,            0.023583,            0.015392,             0.60326,             0.39438,             0.30002,             0.11335,            0.065575,           0.0099069,           0.0080025,            0.016593,           0.0085928,           0.0085928
                   3,            0.063305,            0.021512,            0.011988,             0.36165,             0.66417,             0.51139,              0.2032,            0.055605,            0.009853,           0.0059395,             0.00901,             0.00901,             0.00901
                   4,            0.057522,            0.020463,           0.0082713,             0.48381,              0.6787,             0.57913,               0.208,            0.053274,           0.0091407,           0.0045988,             0.00901,             0.00901,             0.00901
                   5,            0.053768,            0.018637,           0.0066208,             0.72252,             0.70263,             0.76236,             0.38052,            0.042742,           0.0081957,           0.0037383,             0.00868,             0.00868,             0.00868
                   6,            0.048445,            0.018114,            0.005473,             0.81928,             0.78811,             0.84738,             0.46858,            0.039775,           0.0076032,           0.0026054,             0.00835,             0.00835,             0.00835
                   7,            0.045594,            0.017935,           0.0042749,             0.77195,             0.88821,             0.89121,             0.48016,            0.037756,           0.0076134,           0.0024245,             0.00802,             0.00802,             0.00802
                   8,            0.042984,            0.016527,           0.0040044,             0.87481,             0.85258,             0.89425,             0.55183,             0.03572,           0.0071682,           0.0023069,             0.00769,             0.00769,             0.00769
                   9,            0.040596,            0.016581,           0.0038307,             0.68819,             0.82594,             0.81479,             0.48448,            0.035877,           0.0070266,           0.0023342,             0.00736,             0.00736,             0.00736
                  10,            0.039669,            0.016371,           0.0036538,             0.93036,             0.82373,             0.90204,             0.52022,            0.036005,           0.0071191,           0.0028139,             0.00703,             0.00703,             0.00703
                  11,            0.037641,            0.016542,           0.0031898,             0.94959,             0.87119,             0.94364,             0.58945,            0.031535,           0.0066827,           0.0026762,              0.0067,              0.0067,              0.0067
                  12,            0.037203,            0.015495,           0.0030165,             0.95842,             0.86796,              0.9418,             0.61651,            0.032442,           0.0067344,           0.0022538,             0.00637,             0.00637,             0.00637
                  13,            0.034926,            0.015995,           0.0026265,             0.94874,             0.87673,             0.94226,             0.58979,            0.030325,           0.0066207,           0.0021982,             0.00604,             0.00604,             0.00604
                  14,            0.034705,            0.015079,           0.0025046,             0.92161,             0.86455,             0.92226,             0.59606,            0.030063,           0.0065951,           0.0022973,             0.00571,             0.00571,             0.00571
                  15,            0.032248,            0.014356,           0.0022055,             0.93897,             0.88821,             0.92667,             0.62121,            0.029408,           0.0064245,           0.0019942,             0.00538,             0.00538,             0.00538
                  16,            0.031755,            0.014348,           0.0022466,             0.94495,             0.87998,             0.93623,             0.60867,            0.030212,           0.0064295,           0.0019747,             0.00505,             0.00505,             0.00505
                  17,            0.032567,            0.014855,            0.002122,               0.969,             0.89919,             0.95654,              0.6537,            0.028454,           0.0063677,           0.0018214,             0.00472,             0.00472,             0.00472
                  18,            0.030797,            0.014105,           0.0023682,             0.97313,             0.89881,             0.96906,             0.66336,            0.027688,           0.0063075,            0.001809,             0.00439,             0.00439,             0.00439
                  19,            0.030201,            0.014008,           0.0021493,             0.97585,             0.89202,             0.96775,             0.69459,            0.026793,           0.0063272,           0.0017738,             0.00406,             0.00406,             0.00406
                  20,            0.028698,            0.013622,            0.001689,             0.97485,             0.89499,             0.96721,             0.67237,            0.027754,           0.0063212,           0.0018202,             0.00373,             0.00373,             0.00373
                  21,            0.028111,            0.013587,           0.0017796,             0.97777,             0.88217,             0.95783,             0.65698,              0.0265,           0.0061292,            0.001733,              0.0034,              0.0034,              0.0034
                  22,            0.028542,             0.01454,           0.0016731,             0.98182,             0.88347,             0.96366,             0.68848,            0.026553,           0.0061644,           0.0017317,             0.00307,             0.00307,             0.00307
                  23,            0.026902,            0.013727,            0.001648,             0.97324,             0.88217,             0.94931,             0.69009,            0.024946,           0.0060537,           0.0015836,             0.00274,             0.00274,             0.00274
                  24,            0.026091,            0.013111,           0.0013866,             0.98956,             0.88181,             0.96692,              0.6933,            0.025046,           0.0061108,           0.0015436,             0.00241,             0.00241,             0.00241
                  25,            0.025792,            0.012697,           0.0014183,             0.98018,             0.88091,             0.96313,             0.68971,            0.024916,           0.0060143,           0.0016488,             0.00208,             0.00208,             0.00208
                  26,            0.025309,            0.012715,           0.0014588,             0.96559,             0.90767,             0.96715,             0.70468,            0.024371,           0.0058906,           0.0015733,             0.00175,             0.00175,             0.00175
                  27,            0.025108,            0.013236,           0.0013498,              0.9535,             0.91879,             0.96883,             0.72593,            0.023994,           0.0057788,           0.0015242,             0.00142,             0.00142,             0.00142
                  28,            0.024582,            0.012977,           0.0014412,             0.98868,             0.88945,             0.96955,             0.71754,            0.023964,           0.0057727,           0.0014137,             0.00109,             0.00109,             0.00109
                  29,            0.023262,            0.012981,           0.0010355,             0.95199,             0.92047,             0.97034,              0.7243,             0.02349,           0.0057685,            0.001342,             0.00076,             0.00076,             0.00076
